,price,price_clipped,price_clipped_normalized,price_normalized
2023-01-01 07:45:00,-0.13,-0.13,-0.0048723126150732494,-0.0024796383542830987
2023-01-01 08:00:00,-0.144,-0.144,-0.00539702320438883,-0.002746676330898201
2023-01-01 08:15:00,-0.144,-0.144,-0.00539702320438883,-0.002746676330898201
2023-01-01 08:30:00,-0.144,-0.144,-0.00539702320438883,-0.002746676330898201
2023-01-01 08:45:00,-0.144,-0.144,-0.00539702320438883,-0.002746676330898201
2023-01-01 09:00:00,-0.109,-0.109,-0.004085246731099878,-0.002079081389360444
2023-01-01 09:15:00,-0.109,-0.109,-0.004085246731099878,-0.002079081389360444
2023-01-01 09:30:00,-0.109,-0.109,-0.004085246731099878,-0.002079081389360444
2023-01-01 09:45:00,-0.109,-0.109,-0.004085246731099878,-0.002079081389360444
2023-01-01 10:00:00,-0.107,-0.107,-0.004010288075483367,-0.0020409331069868577
2023-01-01 10:15:00,-0.107,-0.107,-0.004010288075483367,-0.0020409331069868577
2023-01-01 10:30:00,-0.107,-0.107,-0.004010288075483367,-0.0020409331069868577
2023-01-01 10:45:00,-0.107,-0.107,-0.004010288075483367,-0.0020409331069868577
2023-01-01 11:00:00,-0.107,-0.107,-0.004010288075483367,-0.0020409331069868577
2023-01-01 11:15:00,-0.107,-0.107,-0.004010288075483367,-0.0020409331069868577
2023-01-01 11:30:00,-0.107,-0.107,-0.004010288075483367,-0.0020409331069868577
2023-01-01 11:45:00,-0.107,-0.107,-0.004010288075483367,-0.0020409331069868577
2023-01-01 12:00:00,-0.079,-0.079,-0.0029608668968522053,-0.001506857153756652
2023-01-01 12:15:00,-0.079,-0.079,-0.0029608668968522053,-0.001506857153756652
2023-01-01 12:30:00,-0.079,-0.079,-0.0029608668968522053,-0.001506857153756652
2023-01-01 12:45:00,-0.079,-0.079,-0.0029608668968522053,-0.001506857153756652
2023-01-01 13:00:00,-0.027,-0.027,-0.0010119418508229055,-0.0005150018120434127
2023-01-01 13:15:00,-0.027,-0.027,-0.0010119418508229055,-0.0005150018120434127
2023-01-01 13:30:00,-0.027,-0.027,-0.0010119418508229055,-0.0005150018120434127
2023-01-01 13:45:00,-0.027,-0.027,-0.0010119418508229055,-0.0005150018120434127
